clarity,carat,color,shape,fluorescent,raprate,cut,polish,symmetry,table,length,width,depth,price per carat,discount,total,comments,report_no,ratio,depth %,rap price total,Extra Column,date,Vendor
SI2,3.01,G,Round,FAINT,17500.0,EX,EX,EX,57.0,9.2,9.15,5.73,13602.75,22.27,40944.2775,"Additional twinning wisps, additional clouds, pinpoints and surface graining are not shown",,1.01,62.62,52674.99999999999,"{'Sr.No': 11.0, 'Pair ID': 22717.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 6210840106, 'D/R': 9.18, 'Measurement': '9.15 - 9.2 * 5.73', 'Total Depth': 62.5, 'Additional Remark': '‡ INSPECTION ADVISABLE', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR2', 'T.B': 'BPP', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'HL', 'P.O': 'SM', 'G.O': 'HL', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Feather,Twinning Wisp,Cloud,Crystal,Needle', 'Graining': 'SG', 'Girdle': 'STK - STK', 'Girdle%': 4.0, 'C.A': 36.0, 'P.A': 40.6, 'C.H': 15.5, 'P.H': 42.5, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': 'Yes', 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,G,Round,NONE,17500.0,EX,EX,EX,60.0,9.36,9.31,5.59,12510.75,28.51,37657.3575,"Additional clouds are not shown,Pinpoints are not shown",,1.01,60.04,52674.99999999999,"{'Sr.No': 12.0, 'Pair ID': 24831.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 7211280177, 'D/R': 9.34, 'Measurement': '9.31 - 9.36 * 5.59', 'Total Depth': 59.9, 'Additional Remark': 'INSPECTION ADVISABLE,UPGRADED CLARITY', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR2', 'T.B': 'B1', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'N', 'P.O': 'SM', 'G.O': 'SM', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Crystal,Feather,Cloud,Needle,Indented Natural,Natural', 'Graining': 'N', 'Girdle': 'MED - STK', 'Girdle%': 4.5, 'C.A': 32.0, 'P.A': 40.8, 'C.H': 12.5, 'P.H': 43.0, 'LowHalf': 75.0, 'StarLenth': 45.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': 'Yes', 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.02,G,Round,MEDIUM,17500.0,EX,EX,EX,55.0,9.25,9.19,5.79,12302.500000000002,29.7,37153.55,"Additional clouds, pinpoints and surface graining are not shown",,1.01,63.0,52850.0,"{'Sr.No': 13.0, 'Pair ID': 21357.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 9447060409, 'D/R': 9.22, 'Measurement': '9.19 - 9.25 * 5.79', 'Total Depth': 62.8, 'Additional Remark': '‡ INSPECTION ADVISABLE', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR2', 'T.B': 'BPP', 'S.B': 'B1', 'T.S': 'N', 'S.S': 'N', 'T.O': 'N', 'C.O': 'SM', 'P.O': 'HL', 'G.O': 'SM', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Feather,Crystal,Cloud,Needle', 'Graining': 'SG', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 33.5, 'P.A': 41.4, 'C.H': 15.0, 'P.H': 44.0, 'LowHalf': 75.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.3,G,Round,NONE,17500.0,EX,EX,EX,57.0,9.47,9.41,5.93,13041.0,25.48,43035.299999999996,"Pinpoints are not shown,Surface graining is not shown",,1.01,63.02,57750.0,"{'Sr.No': 14.0, 'Pair ID': 21376.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 7210800057, 'D/R': 9.44, 'Measurement': '9.41 - 9.47 * 5.93', 'Total Depth': 62.8, 'Additional Remark': 'RED SPOT', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'CRL1', 'S.W': 'FR2', 'T.B': 'B1', 'S.B': 'B1', 'T.S': 'TPP1', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'HL', 'P.O': 'N', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Crystal,Feather,Needle,Cloud', 'Graining': 'SG', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 35.5, 'P.A': 40.8, 'C.H': 15.5, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 45.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.51,G,Round,FAINT,17500.0,EX,EX,EX,58.0,9.71,9.65,6.01,14801.5,15.42,51953.265,"Additional twinning wisps, pinpoints and surface graining are not shown",,1.01,62.28,61424.99999999999,"{'Sr.No': 15.0, 'Pair ID': 14602.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'EX', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 2871800002, 'D/R': 9.68, 'Measurement': '9.65 - 9.71 * 6.01', 'Total Depth': 62.1, 'Additional Remark': '‡ INSPECTION ADVISABLE,EYE CLEAN', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'SPR1', 'S.W': 'SPR1', 'T.B': 'BPP', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'N', 'C.O': 'HL', 'P.O': 'N', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Twinning Wisp,Feather,Crystal', 'Graining': 'SG', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 36.0, 'P.A': 40.6, 'C.H': 15.5, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.0,H,Round,MEDIUM,15700.0,EX,EX,EX,56.0,9.19,9.12,5.75,11892.750000000002,24.25,35678.25000000001,"Internal graining is not shown,Surface graining is not shown",,1.01,63.05,47100.0,"{'Sr.No': 16.0, 'Pair ID': 19809.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 1446890201, 'D/R': 9.16, 'Measurement': '9.12 - 9.19 * 5.75', 'Total Depth': 62.8, 'Additional Remark': 'UPGRADED COLOR', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'PP2', 'S.W': 'FR2', 'T.B': 'BPP', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'N', 'C.O': 'SM', 'P.O': 'HL', 'G.O': 'SM', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Feather,Crystal,Needle,Pinpoint,Natural', 'Graining': 'IG SG', 'Girdle': 'MED - STK', 'Girdle%': 3.5, 'C.A': 36.5, 'P.A': 40.8, 'C.H': 16.5, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,H,Round,FAINT,15700.0,EX,EX,EX,59.0,9.29,9.26,5.71,12209.890000000001,22.23,36751.7689,"Additional twinning wisps, additional clouds, pinpoints and surface graining are not shown",,1.0,61.66,47257.0,"{'Sr.No': 17.0, 'Pair ID': 24841.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 1210410260, 'D/R': 9.28, 'Measurement': '9.26 - 9.29 * 5.71', 'Total Depth': 61.5, 'Additional Remark': '‡ INSPECTION ADVISABLE', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR1', 'T.B': 'BPP', 'S.B': 'B1', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'HL', 'P.O': 'N', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Cloud,Crystal,Feather,Needle,Twinning Wisp', 'Graining': 'SG', 'Girdle': 'STK - STK', 'Girdle%': 4.0, 'C.A': 32.5, 'P.A': 41.6, 'C.H': 13.0, 'P.H': 44.5, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': 'Yes', 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,H,Round,NONE,15700.0,EX,EX,EX,59.0,9.21,9.15,5.74,10018.17,36.19,30154.6917,"Clouds, pinpoints and surface graining are not shown",,1.01,62.73,47257.0,"{'Sr.No': 18.0, 'Pair ID': nan, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 1211060110, 'D/R': 9.18, 'Measurement': '9.15 - 9.21 * 5.74', 'Total Depth': 62.5, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'CRL2', 'S.W': 'FR2', 'T.B': 'B2', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'N', 'P.O': 'SM', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Feather,Crystal,Needle,Natural', 'Graining': 'SG', 'Girdle': 'MED - STK', 'Girdle%': 4.5, 'C.A': 33.5, 'P.A': 41.6, 'C.H': 13.5, 'P.H': 44.5, 'LowHalf': 75.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,H,Round,NONE,15700.0,EX,EX,EX,58.0,9.22,9.16,5.73,11600.73,26.11,34918.1973,"Pinpoints are not shown,Surface graining is not shown",,1.01,62.55,47257.0,"{'Sr.No': 19.0, 'Pair ID': 25879.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 1211610411, 'D/R': 9.19, 'Measurement': '9.16 - 9.22 * 5.73', 'Total Depth': 62.4, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR2', 'S.W': 'CRL1', 'T.B': 'BPP', 'S.B': 'N', 'T.S': 'N', 'S.S': 'N', 'T.O': 'SM', 'C.O': 'N', 'P.O': 'N', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Twinning Wisp,Feather,Crystal', 'Graining': 'SG', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 34.0, 'P.A': 41.4, 'C.H': 14.5, 'P.H': 44.0, 'LowHalf': 75.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,H,Round,NONE,15700.0,EX,EX,EX,60.0,9.29,9.24,5.7,11115.599999999999,29.2,33457.95599999999,"Additional clouds, additional twinning wisps, pinpoints and surface graining are not shown",,1.01,61.69,47257.0,"{'Sr.No': 20.0, 'Pair ID': 24814.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 6447250076, 'D/R': 9.27, 'Measurement': '9.24 - 9.29 * 5.7', 'Total Depth': 61.5, 'Additional Remark': 'RED SPOT', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR1', 'T.B': 'B1', 'S.B': 'N', 'T.S': 'TR1', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'N', 'P.O': 'SM', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Twinning Wisp,Feather,Cloud,Crystal,Needle', 'Graining': 'SG', 'Girdle': 'STK - STK', 'Girdle%': 4.0, 'C.A': 32.5, 'P.A': 41.6, 'C.H': 13.0, 'P.H': 44.5, 'LowHalf': 75.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
